PageInNowak,Common Name or Group,Species Name,In240WGSAln,In428CDSAln,Laurasiatheria,Genome,"Tip_Label (Red is included in CMU enhancer dataset, but missing alignment)",Assembly_Name,FaName,Secondary_Terrestrial_Vertebrate,Secondary_Frugivore,Secondary_Arthropoda,Secondary_Terrestrial_Invertebrate,"Secondary_Vegetation (leaves, browse, bulbs, grass, etc.)",Secondary_Granivore (seeds),Secondary_Veg_Exudants,Secondary_eggs,Secondary_fungi,Secondary_lichen,Secondary_Mollusks ,Secondary_fish,Secondary_Marine_Mammals,H/O/C,Meyer Lab Classification,True_carn_v_all,Vert_v_herb,CarnFish_Herbs,Ins_v_herbs,MarineAquatic,MarineAquaticBinary,MarineSemiaquaticBinary,% Protein (Spring),% Protein (Fall),% Protein (Winter),% Protein (Summer),% Lipids (Summer),% Lipids (Fall),% Lipids (Spring),% Lipids (Winter),% Carbohydrate (Fall),% Carbohydrate (Summer),% Carbohydrate (Spring),% Carbohydrate (Winter),Carbohydrate% (mean),Carb (SE),Lipid%,Lipid (SE),Protein%,Protein (SE),Other Nutritients (%),Brain mass (in kg),Body mass (in kg),Biomes,Environmental Range,Another set of eyes?,"Level of Description (Order, Genus, Species)",NowakNotes,NutritionalGeometryNotes,NutritionalGeometryRef,Did you find any data/articles for this species?,Initials for who inputed data,GeneralNotes,Domestic/wild,Desert/non-desert,high altitude/non-high altitude ,ADW Min Elevation (meters),ADW Max Elevation (meters),Notes for Extreme Enviornments 
834,Cheetah,Acinonyx jubatus,Y,Y,1,aciJub1,Acinonyx_jubatus,HLaciJub2,vs_HLaciJub2,1,0,0,0,0,0,0,0,0,0,0,0,0,,Carnivore,1,1,1,NA,0,0,0,,,,,,,,,,,,,,,,,,,,0.11,38.5,,,0,Species,"The diet consists mainly of gazelles... and also includes impalas, other small and medium-sized ungulates, and the calves of large ungulates...Hares, other small mammals, and birds are sometimes taken. ",,,,,some species of cheetahs live in deserts,0,0,1,NA,NA,
1590,Spiny mouse,Acomys cahirinus,Y,Y,0,,Acomys_cahirinus,HLacoCah1,vs_HLacoCah1,1,0,0,0,1,1,0,0,0,0,0,0,0,,Omnivore,0,1,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,Genus,"Spiny mice are omnivorous but feed mainly on plant material, especially grains and grasses. Osborn and Helmy (1980:299) wrote that dates are a staple in some areas and that ""the dried flesh and bone marrow of mummified humans is a source of food for A. calririn11s in the tombs of Gebel Drunka southwest of Asyut.""",,,,,,1,1,,NA,"1,500",
693,Panda,Ailuropoda melanoleuca,Y,Y,1,ailMel1,Ailuropoda_melanoleuca,HLailMel2,vs_HLailMel2,1,0,0,0,1,0,0,0,0,0,0,1,0,,Omnivore,0,1,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Species,"bamboo, gentians, irises, crocuses, tufted grasses, occassionally hunts for fish, pikas, and small rodents",,,,,,,,,"1,200","3,900",
695,Red Panda ,Ailurus fulgens,Y,Y,1,ailFul1,Ailurus_fulgens,HLailFul2,vs_HLailFul2,0,1,1,0,1,1,0,1,0,0,0,0,0,,Omnivore,0,0,NA,NA,0,0,0,,,,,,,,,,,,,69.4,,4.95,,23.95,,1.7,,,,,0,Species,"The diet consists mostly of bamboo sprouts, grasses, roots, fruits, and acorns. It also occasionally takes insects, eggs, young birds, and small rodents. ","The macronutrient bal- ance of the early-summer-leaves diet was 25.4 % crude pro- tein, 6.8 % fat, and 65.4 % available carbohydrate, while the winter-leaves diet had a balance of 22.5, 3.1, and 73.4 %, respectively. Differences in diet between sampling periods may reflect preferences associated with seasonal physiological demands.",,YES,ARG,,0,1,1,"2,200","4,800",
1341,Gobi jerboa,Allactaga bullata,Y,Y,0,,Allactaga_bullata,HLallBul1,vs_HLallBul1,0,0,0,0,0,1,0,0,0,0,0,0,0,,Insectivore/herbivore,0,0,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Genus,"No info on A. bullata. Genus info: Most species of Allactaga are primarily vegetarian. A. major  is almost exclusively a seed eater but also takes bulbs and some other plant matter. In contrast, A. sibirica is mainly insectivorous. ",,,,,,,,,878,"1,450",
543,Howler Monkey,Alouatta palliata,Y,Y,0,,Alouatta_palliata,HLaloPal1,vs_HLaloPal1,0,1,0,0,1,0,0,0,0,0,0,0,0,,Herbivore,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Genus,"The diet of Alouatta is varied but consists mainly of leaves, fruits, and other vegetable matter.",,,,,,0,0,0,0,"2,500",
1229,Aoudad,Ammotragus lervia,Y,Y,1,,Ammotragus_lervia,HLammLer1,vs_HLammLer1,0,0,0,0,1,0,0,0,0,0,0,0,0,,Herbivore,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Species,"Diet consists of grass, herbaceous plants, and stunted bushes.",,,,,,,,,0,NA,
373,Geoffroy's Long-nosed Bats,Anoura caudifer,Y,Y,1,,Anoura_caudifer,HLanoCau1,vs_HLanoCau1,0,1,1,0,0,0,1,0,0,0,0,0,0,,Insectivore/Herbivore,0,0,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Genus,"The diet of this genus includes fruit, pollen, nectar, and insects",,,,,,,,,NA,NA,
1132,Pronghorn,Antilocapra americana,Y,Y,1,,Antilocapra_americana,HLantAme1,vs_HLantAme1,0,0,0,0,1,0,0,0,0,0,0,0,0,,Herbivore,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Species,"The pronghorn both grazes and browses on a wide variety of shrubs, forbs, grasses, cacti, and other plants. ",,,no,ARG,,,,1,0,"3,350",
551,Night Monkey,Aotus nancymaae,Y,Y,0,aotNan1,Aotus_nancymaae,aotNan1,vs_aotNan1,1,1,1,0,1,1,1,0,0,0,0,0,0,,Omnivore,0,1,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,Genus,"The diet consists mainly of fruits, nuts, leaves, bark, flowers, gums, insects, and small vertebrates",,,,,,1,0,1,NA,NA,
