"species" "diet" "presence"
"1" "Acinonyx_jubatus__cheetah__HLaciJub2" "Vertivore" "1"
"2" "Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah1" "Omnivore" "1"
"3" "Ailuropoda_melanoleuca__giant_panda__HLailMel2" "Herbivore" "1"
"4" "Ailurus_fulgens__lesser_panda__HLailFul2" "Omnivore" "1"
"5" "Allactaga_bullata__Gobi_jerboa__HLallBul1" "Omnivore" "1"
"6" "Alouatta_palliata__mantled_howler_monkey__HLaloPal1" "Herbivore" "1"
"7" "Ammotragus_lervia__aoudad__HLammLer1" "Herbivore" "1"
"8" "Anoura_caudifer__tailed_tailless_bat__HLanoCau1" "Omnivore" "1"
"9" "Antilocapra_americana__pronghorn__HLantAme1" "Herbivore" "1"
"10" "Aotus_nancymaae__Mas_night_monkey__aotNan1" "Omnivore" "1"
"11" "Aplodontia_rufa__mountain_beaver__HLaplRuf1" "Herbivore" "1"
"12" "Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1" "Herbivore" "1"
"13" "Balaenoptera_acutorostrata_scammoni__minke_whale__balAcu1" "Omnivore" "1"
"14" "Balaenoptera_bonaerensis__Antarctic_minke_whale__HLbalBon1" "Insectivore" "1"
"15" "Beatragus_hunteri__-__HLbeaHun1" "Insectivore" "1"
"16" "Bison_bison_bison__American_bison__bisBis1" "Herbivore" "1"
"17" "Bos_indicus__zebu_cattle__HLbosInd2" "Herbivore" "1"
"18" "Bubalus_bubalis__water_buffalo__HLbubBub2" "Herbivore" "1"
"19" "Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac4" "Omnivore" "1"
"20" "Camelus_bactrianus__Bactrian_camel__HLcamBac1" "Omnivore" "1"
"21" "Camelus_dromedarius__Arabian_camel__HLcamDro2" "Herbivore" "1"
"22" "Camelus_ferus__Wild_Bactrian_camel__HLcamFer3" "Herbivore" "1"
"23" "Capra_hircus__goat__HLcapHir2" "Vertivore" "1"
"24" "Catagonus_wagneri__Chacoan_peccary__HLcatWag1" "Herbivore" "1"
"25" "Cavia_aperea__Brazilian_guinea_pig__cavApe1" "Herbivore" "UN"
"26" "Cavia_porcellus__domestic_guinea_pig__cavPor3" "Herbivore" "1"
"27" "Cavia_tschudii__Montane_guinea_pig__HLcavTsc1" "Herbivore" "1"
"28" "Cebus_albifrons__white-fronted_capuchin__HLcebAlb1" "Herbivore" "1"
"29" "Cebus_capucinus_imitator__white-faced_sapajou__cebCap1" "Herbivore" "1"
"30" "Cercocebus_atys__sooty_mangabey__cerAty1" "Herbivore" "1"
"31" "Cercopithecus_neglectus__De_Brazzas_monkey__HLcerNeg1" "Herbivore" "1"
"32" "Cheirogaleus_medius__Lesser_dwarf_lemur__HLcheMed1" "Omnivore" "1"
"33" "Chinchilla_lanigera__long-tailed_chinchilla__chiLan1" "Omnivore" "1"
"34" "Chlorocebus_sabaeus__green_monkey__chlSab2" "Herbivore" "1"
"35" "Colobus_angolensis_palliatus__Angolan_colobus__colAng1" "Herbivore" "1"
"36" "Condylura_cristata__star-nosed_mole__conCri1" "Omnivore" "1"
"37" "Craseonycteris_thonglongyai__hog-nosed_bat__HLcraTho1" "Omnivore" "1"
"38" "Cricetomys_gambianus__Gambian_giant_pouched_rat__HLcriGam1" "Herbivore" "1"
"39" "Cricetulus_griseus__Chinese_hamster__HLcriGri3" "Omnivore" "1"
"40" "Cryptoprocta_ferox__fossa__HLcryFer2" "Insectivore" "1"
"41" "Ctenodactylus_gundi__northern_gundi__HLcteGun1" "Herbivore" "1"
"42" "Ctenomys_sociabilis__social_tuco-tuco__HLcteSoc1" "Insectivore" "1"
"43" "Dasyprocta_punctata__punctate_agouti__HLdasPun1" "Insectivore" "1"
"44" "Delphinapterus_leucas__beluga_whale__HLdelLeu2" "Omnivore" "1"
"45" "Dicerorhinus_sumatrensis_sumatrensis__Sumatran_rhinoceros__HLdicSum1" "Herbivore" "1"
"46" "Diceros_bicornis__black_rhinoceros__HLdicBic1" "Herbivore" "1"
"47" "Dinomys_branickii__pacarana__HLdinBra1" "Herbivore" "1"
"48" "Dipodomys_ordii__Ords_kangaroo_rat__dipOrd2" "Herbivore" "1"
"49" "Dipodomys_stephensi__Stephenss_kangaroo_rat__HLdipSte1" "Insectivore" "1"
"50" "Dolichotis_patagonum__Patagonian_cavy__HLdolPat1" "Omnivore" "1"
"51" "Eidolon_helvum__straw-colored_fruit_bat__HLeidHel2" "Vertivore" "1"
"52" "Elaphurus_davidianus__Pere_Davids_deer__HLelaDav1" "Insectivore" "1"
"53" "Ellobius_lutescens__Transcaucasian_mole_vole__HLellLut1" "Herbivore" "1"
"54" "Ellobius_talpinus__Northern_mole_vole__HLellTal1" "Herbivore" "1"
"55" "Eptesicus_fuscus__big_brown_bat__eptFus1" "Herbivore" "1"
"56" "Equus_caballus__horse__equCab3" "Omnivore" "1"
"57" "Equus_przewalskii__Przewalskis_horse__equPrz1" "Omnivore" "1"
"58" "Erinaceus_europaeus__western_European_hedgehog__eriEur2" "Herbivore" "1"
"59" "Erythrocebus_patas__red_guenon__HLeryPat1" "Omnivore" "1"
"60" "Eschrichtius_robustus__grey_whale__HLescRob1" "Herbivore" "1"
"61" "Eubalaena_japonica__North_Pacific_right_whale__HLeubJap1" "Herbivore" "1"
"62" "Eulemur_flavifrons__Sclaters_lemur__HLeulFla1" "Insectivore" "1"
"63" "Eulemur_fulvus__brown_lemur__HLeulFul1" "Herbivore" "1"
"64" "Felis_catus__domestic_cat__felCat9" "Herbivore" "1"
"65" "Felis_nigripes__black-footed_cat__HLfelNig1" "Omnivore" "1"
"66" "Fukomys_damarensis__Damara_mole-rat__HLfukDam2" "Insectivore" "1"
"67" "Giraffa_tippelskirchi__-__HLgirTip1" "Herbivore" "1"
"68" "Glis_glis__Fat_dormouse__HLgliGli1" "Herbivore" "1"
"69" "Graphiurus_murinus__woodland_dormouse__HLgraMur1" "Insectivore" "1"
"70" "Helogale_parvula__dwarf_mongoose__HLhelPar1" "Herbivore" "1"
"71" "Hemitragus_hylocrius__Nilgiri_tahr__HLhemHyl1" "Insectivore" "1"
"72" "Heterocephalus_glaber__naked_mole-rat__hetGla2" "Insectivore" "1"
"73" "Hipposideros_armiger__great_roundleaf_bat__HLhipArm1" "Omnivore" "1"
"74" "Hipposideros_galeritus__Cantors_roundleaf_bat__HLhipGal1" "Herbivore" "1"
"75" "Hyaena_hyaena__striped_hyena__HLhyaHya1" "Vertivore" "1"
"76" "Hydrochoerus_hydrochaeris__capybara__HLhydHyd1" "Vertivore" "1"
"77" "Indri_indri__-__HLindInd1" "Herbivore" "1"
"78" "Inia_geoffrensis__boutu__HLlniGeo1" "Herbivore" "1"
"79" "Jaculus_jaculus__lesser_Egyptian_jerboa__jacJac1" "Omnivore" "1"
"80" "Kogia_breviceps__pygmy_sperm_whale__HLkogBre1" "Insectivore" "1"
"81" "Lasiurus_borealis__red_bat__HLlasBor1" "Herbivore" "1"
"82" "Lemur_catta__Ring-tailed_lemur__HLlemCat1" "Herbivore" "1"
"83" "Leptonychotes_weddellii__Weddell_seal__lepWed1" "Insectivore" "1"
"84" "Lepus_americanus__snowshoe_hare__HLlepAme1" "Insectivore" "1"
"85" "Lipotes_vexillifer__Yangtze_River_dolphin__lipVex1" "Herbivore" "1"
"86" "Macaca_fascicularis__crab-eating_macaque__HLmacFas6" "Herbivore" "1"
"87" "Macaca_mulatta__Rhesus_monkey__rheMac10" "Herbivore" "1"
"88" "Macroglossus_sobrinus__-__HLmacSob1" "Herbivore" "1"
"89" "Mandrillus_leucophaeus__drill__manLeu1" "Vertivore" "1"
"90" "Manis_pentadactyla__Chinese_pangolin__HLmanPen2" "Herbivore" "1"
"91" "Marmota_marmota_marmota__Alpine_marmot__HLmarMar1" "Insectivore" "1"
"92" "Megaderma_lyra__Indian_false_vampire__HLmegLyr2" "Insectivore" "1"
"93" "Mellivora_capensis__ratel__HLmelCap1" "Herbivore" "1"
"94" "Meriones_unguiculatus__Mongolian_gerbil__HLmerUng1" "Vertivore" "1"
"95" "Mesocricetus_auratus__golden_hamster__mesAur1" "Herbivore" "1"
"96" "Mesoplodon_bidens__Sowerbys_beaked_whale__HLmesBid1" "Vertivore" "1"
"97" "Microcebus_murinus__gray_mouse_lemur__micMur3" "Herbivore" "1"
"98" "Micronycteris_hirsuta__-__HLmicHir1" "Vertivore" "1"
"99" "Microtus_ochrogaster__prairie_vole__micOch1" "Omnivore" "1"
"100" "Miniopterus_natalensis__-__HLminNat1" "Herbivore" "1"
"101" "Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch1" "Herbivore" "1"
"102" "Mirounga_angustirostris__Northern_elephant_seal__HLmirAng2" "Herbivore" "1"
"103" "Mirza_coquereli__Coquerels_mouse_lemur__HLmirCoq1" "Herbivore" "1"
"104" "Mormoops_blainvillei__Antillean_ghost-faced_bat__HLmorBla1" "Omnivore" "1"
"105" "Moschus_moschiferus__Siberian_musk_deer__HLmosMos1" "Insectivore" "1"
"106" "Mungos_mungo__banded_mongoose__HLmunMug1" "Insectivore" "1"
"107" "Murina_aurata_feae__Little_tube-nosed_bat__HLmurAurFea1" "Herbivore" "1"
"108" "Mus_caroli__Ryukyu_mouse__HLmusCar1" "Omnivore" "1"
"109" "Mus_pahari__shrew_mouse__HLmusPah1" "Omnivore" "1"
"110" "Mus_spretus__western_wild_mouse__HLmusSpr1" "Omnivore" "1"
"111" "Muscardinus_avellanarius__hazel_dormouse__HLmusAve1" "Omnivore" "1"
"112" "Myocastor_coypus__nutria__HLmyoCoy1" "Herbivore" "1"
"113" "Myotis_brandtii__Brandts_bat__myoBra1" "Insectivore" "1"
"114" "Myotis_davidii__-__myoDav1" "Omnivore" "1"
"115" "Myotis_lucifugus__little_brown_bat__HLmyoLuc1" "Omnivore" "1"
"116" "Myotis_myotis__-__HLmyoMyo6" "Herbivore" "1"
"117" "Nannospalax_galili__Upper_Galilee_mountains_blind_mole_rat__nanGal1" "Insectivore" "1"
"118" "Nasalis_larvatus__proboscis_monkey__nasLar1" "Insectivore" "0"
"119" "Neomonachus_schauinslandi__Hawaiian_monk_seal__neoSch1" "Omnivore" "1"
"120" "Neophocaena_asiaeorientalis_asiaeorientalis__Yangtze_finless_porpoise__HLneoAsi1" "Omnivore" "1"
"121" "Noctilio_leporinus__greater_bulldog_bat__HLnocLep1" "Omnivore" "UN"
"122" "Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4" "Vertivore" "1"
"123" "Nycticebus_coucang__slow_loris__HLnycCou1" "Insectivore" "1"
"124" "Ochotona_princeps__American_pika__ochPri3" "Herbivore" "1"
"125" "Octodon_degus__degu__octDeg1" "Insectivore" "1"
"126" "Okapia_johnstoni__okapi__HLokaJoh2" "Omnivore" "1"
"127" "Ondatra_zibethicus__muskrat__HLondZib1" "Omnivore" "1"
"128" "Onychomys_torridus__southern_grasshopper_mouse__HLonyTor1" "Omnivore" "1"
"129" "Otolemur_garnettii__small-eared_galago__otoGar3" "Herbivore" "1"
"130" "Ovis_aries__sheep__HLoviAri5" "Vertivore" "1"
"131" "Pan_paniscus__pygmy_chimpanzee__panPan3" "Herbivore" "1"
"132" "Pan_troglodytes__chimpanzee__panTro6" "Insectivore" "1"
"133" "Panthera_pardus__leopard__HLpanPar1" "Insectivore" "1"
"134" "Panthera_tigris_altaica__Amur_tiger__panTig1" "Insectivore" "1"
"135" "Pantholops_hodgsonii__chiru__panHod1" "Insectivore" "1"
