"Scientific_Binomial","CommonName","ScientificNameFull","ZoonomiaName","ZoonomiaTip","HillerName","MSW3_ID","MSWC_Order","MSWC_Family","MSWC_Genus","MSWC_Species","MedgedDataOrder","manualAnnotations_FaName","Divider","Meyer.Diet.Categorical","Meyer.Lab.Classification","Meyer.Lab.Classification.Clean","Meyer.Lab.Classification.Compressed","MeyerTrophicLevel","DerekDietClassification70","DerekDietClassification90","DerekDietClassification90InsVertivoreSorting","panTheriaTrophicLevel","panTheriaTrophicLevelCharacter","Divider2","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","DividerSpacer","Diet.VertTerrestrial","Diet.VertAll","Diet.AnimalsAll","Diet.PlantHighSugar","Diet.PlantLowSugar","Diet.PlantAll","Divider3","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","Laurasiatheria","Domestication","DomesticationBinary","Echolocation","AlliePheno","insVertivoreDiet"
"acinonyx_jubatus","Cheetah","Acinonyx jubatus","HLaciJub2","vs_HLaciJub2","HLaciJub1",4791,"Carnivora","Felidae","Acinonyx","jubatus",1,"vs_HLaciJub2","-","Carnivore","Carnivore","Carnivore","Carnivore","Carnivore","C-Endotherm-Carnivore","C-Endotherm-Carnivore","C-Endotherm-Carnivore",3,"Carnivore","-",0,100,0,0,0,0,0,0,0,0,NA,100,100,100,0,0,0,"-","Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",46700,"Ref_117",1,1,"wild",0,0,NA,"Vertivore"
"acomys_cahirinus","Spiny mouse","Acomys cahirinus","HLacoCah1","vs_HLacoCah1",NA,2063,"Rodentia","Muridae","Acomys","cahirinus",2,"vs_HLacoCah1","-",NA,"Omnivore","Omnivore","_Omnivore","Omnivore","H-Nonspecific-Herbivore","O-For Examination","O-For Examination",-999,NA,"-",0,0,0,0,30,0,0,0,0,70,NA,30,30,30,0,70,70,"-","Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",52.45,"Ref_117",1,0,"captive",0,0,3,"Omnivore"
"ailuropoda_melanoleuca","Panda","Ailuropoda melanoleuca","HLailMel2","vs_HLailMel2","ailMel1",5026,"Carnivora","Ursidae","Ailuropoda","melanoleuca",3,"vs_HLailMel2","-","Omnivore","Omnivore","Omnivore","_Omnivore","Omnivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore",1,"Herbivore","-",0,10,0,0,0,0,0,0,0,90,NA,10,10,10,0,90,90,"-","Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",108400,"Ref_117",1,1,"captive",0,0,3,"Herbivore"
"ailurus_fulgens","Red Panda ","Ailurus fulgens","HLailFul2","vs_HLailFul2","HLailFul1",5077,"Carnivora","Ailuridae","Ailurus","fulgens",4,"vs_HLailFul2","-","Omnivore","Omnivore","Omnivore","_Omnivore","Omnivore","H-Low-sugar-plants-Eater","O-For Examination","O-For Examination",1,"Herbivore","-",10,10,0,0,0,0,10,0,10,60,NA,10,10,20,10,70,80,"-","Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",4900,"Ref_117",1,1,"wild",0,0,NA,"Omnivore"
"allactaga_bullata","Gobi jerboa","Allactaga bullata","HLallBul1","vs_HLallBul1",NA,1262,"Rodentia","Dipodidae","Allactaga","bullata",5,"vs_HLallBul1","-",NA,"Insectivore/herbivore","Omnivore-IH","_Omnivore","Omnivore","H-Low-sugar-plants-Eater","O-For Examination","O-For Examination",-999,NA,"-",20,0,0,0,0,0,0,0,50,30,NA,0,0,20,0,80,80,"-","Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",89.35,"Ref_178",2,0,"wild",0,0,NA,"Omnivore"
"alouatta_palliata","Howler Monkey","Alouatta palliata","HLaloPal1","vs_HLaloPal1",NA,634,"Primates","Atelidae","Alouatta","palliata",6,"vs_HLaloPal1","-",NA,"Herbivore","Herbivore","Herbivore","Herbivore","H-All-plants-Eater","H-All-plants-Eater","H-All-plants-Eater",1,"Herbivore","-",0,0,0,0,0,0,40,0,0,60,NA,0,0,0,40,60,100,"-","Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",7274.95,"Ref_117",1,0,NA,NA,0,NA,"Herbivore"
"ammotragus_lervia","Aoudad","Ammotragus lervia","HLammLer1","vs_HLammLer1","mm10",5205,"Artiodactyla","Bovidae","Ammotragus","lervia",7,"vs_HLammLer1","-","Herbivore","Herbivore","Herbivore","Herbivore","Herbivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore",1,"Herbivore","-",0,0,0,0,0,0,0,0,0,100,NA,0,0,0,0,100,100,"-","Ref_1","ABC","G","A","",0,1,1,"Ref_3","D2",48000,"Ref_117",1,1,NA,NA,0,NA,"Herbivore"
"anoura_caudifer","Geoffroy's Long-nosed Bats","Anoura caudifer","HLanoCau1","vs_HLanoCau1",NA,4143,"Chiroptera","Phyllostomidae","Anoura","caudifer",8,"vs_HLanoCau1","-",NA,"Insectivore/Herbivore","Omnivore-IH","_Omnivore","Omnivore","H-High-sugar-plants-Eater","O-Generalist","O-Generalist",2,"Omnivore","-",30,0,0,0,0,0,30,40,0,0,NA,0,0,30,70,0,70,"-","Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",10.81,"Ref_58",1,1,"wild",0,1,NA,"Omnivore"
"antilocapra_americana","Pronghorn","Antilocapra americana","HLantAme1","vs_HLantAme1",NA,5332,"Artiodactyla","Antilocapridae","Antilocapra","americana",9,"vs_HLantAme1","-",NA,"Herbivore","Herbivore","Herbivore","Herbivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore","H-Nonspecific-Herbivore",1,"Herbivore","-",0,0,0,0,0,0,0,0,0,100,NA,0,0,0,0,100,100,"-","Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",46082.92,"Ref_117",1,1,"captive",0,0,NA,"Herbivore"
"aotus_nancymaae","Night Monkey","Aotus nancymaae","aotNan1","vs_aotNan1","aotNan1",642,"Primates","Aotidae","Aotus","nancymaae",10,"vs_aotNan1","-","Omnivore","Omnivore","Omnivore","_Omnivore","Omnivore","H-All-plants-Eater","O-Generalist","O-Generalist",2,"Omnivore","-",20,0,0,0,10,0,20,10,20,20,NA,10,10,30,30,40,70,"-","Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",788.01,"Ref_117",1,0,"captive",0,0,3,"Omnivore"
