GeneID	Dermanura_bogotensis1	Artibeus_jamaicensis1	Artibeus_jamaicensis2	Artibeus_jamaicensis3	Artibeus_jamaicensis4	Eonycteris_spelaea1	Eonycteris_spelaea2	Hipposideros_armiger1	Hipposideros_armiger2	Desmodus_rotundus1	Phyllostomus_discolor1	Phyllostomus_discolor2	Molossus_molossus1	Tonatia_saurophila1	Rhinolophus_ferrumequinum1	Rhinolophus_ferrumequinum2	Rousettus_aegyptiacus1	Rousettus_aegyptiacus2	Lonchorhina_aurita1	Phyllostomus_hastatus1	Vespertilio_sinensis1	Vespertilio_sinensis2	Vespertilio_sinensis3	Vespertilio_sinensis4	Vespertilio_sinensis5	Vespertilio_sinensis6	Vespertilio_sinensis7	Vespertilio_sinensis8	Vespertilio_sinensis9	Vespertilio_sinensis10	Vespertilio_sinensis11	Vespertilio_sinensis12	Pteropus_alecto1	Pteropus_alecto2	Pteropus_alecto3	Pteropus_alecto4	Lionycteris_spurrelli1	Sturnira_ludovici1	Rhinophylla_fischerae1	Carollia_perspicillata1
ZNF814_1	0	0	0	0	0	0	0.036508	1.30965	2.252751	0.314206	0	0	0	0.053896	0	0	0.158157	0.102296	0.433639	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37659	0.772992	1.311298	0.561022	0	0	0	0
ZNF211_1	0.672284	3.414609	2.850383	5.724436	4.357698	0	0.72095	0	0	0.512959	0	0.154498	2.257835	0.109563	1.288779	1.536342	0.675923	0	0.492009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179049	0.233795	0.110704	1.333575
ZNF256	0.636517	7.351106	5.119854	3.919584	4.748652	1.989622	0.964023	6.666406	7.23663	0	2.005652	2.085254	3.162034	3.236144	1.372836	1.11398	0.929604	1.113802	1.676004	1.334093	0	0	0	0	0.044462	0	0	0	0	0	0.042722	0.075785	0.71151	1.268859	1.248747	1.366423	0	0	0	0
ZNF814_2	0	0	0	0	0	0.241493	0.486708	0.05836	0	0.022824	0	0	0.054308	0.046977	4.388315	2.700403	0.596226	1.224639	0.224633	0.013749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110768
ZNF814_3	0	0	0	0	0	0	0	0	0	1.50402	0	0	1.0674	0.645428	0	0	0	0	0	0	0.996519	0.883709	1.19601	1.735669	0.275506	0.745868	0	1.035509	0.642508	0.880476	0.735595	0.144448	0	0	0	0	0	0.401816	0.658674	0.346445
ZNF211_2	2.42796	11.726301	7.321988	6.091281	8.916959	0	0	0	0	1.017518	0.063767	0.072142	0	1.658655	0	0	0	0	0.609256	0.443497	0	0	0	0	0	0	0	0.316281	0	0	0	0	0	0	0	0	0	0	0	0
H2BC18	0	0	0	0	0	26.149332	19.805145	0	0	125.693151	0	0	0.237666	0.332404	0.66958	0	35.018467	28.941186	0	20.295867	0	0	0	0	0	0	0	0	0	0.236186	0.103876	0	56.12661	160.282725	170.227898	113.575456	0.95501	22.067255	0	9.385501
H2BC4	0	0.987395	3.676132	0	0	0	0	0	0	1.624663	0	0	1.124648	0	0	0	0	0	0	1.585124	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035311	0.130322	0.035973	0	0	0	0
H2BC5	0	0	0	0	0	111.063011	87.70658	0	0	0	24.23743	19.000686	34.749798	0	8.882773	2.291303	96.537279	112.650863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.219555	27.377567	21.284204	75.933197	94.022743	0	41.011707	37.860614
H2AC25	2.810892	3.457462	3.553015	3.067964	2.715938	0	0	0	0	3.578974	12.920091	12.173613	0	0	0	0	0	0	26.425178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133288	1.102647	0	21.913537
H2AC1	0	0.539405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714957	0	0	0.434154	0	0	0	0	0	0	0	0	0	0.352265	0	0	0	0	0	0	0	0
H2AC18_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AJ	185.99124	248.26886	316.497942	465.202443	327.88095	96.049627	64.50921	69.235984	97.653524	379.582473	181.891572	180.473574	163.649459	370.097636	73.247593	56.377861	32.704362	48.632154	220.092841	274.225196	155.647751	296.103101	145.677084	201.042427	189.38652	285.760312	609.996065	289.588509	324.335157	196.292913	189.332576	382.448515	89.934067	106.657557	101.021751	135.032831	386.06534	324.041203	283.318201	370.202282
H2AC20	0	1.473858	0.560849	2.873738	0.952929	0	0	0	0	0	0	0.599358	0	3.354999	3.978866	5.773027	0	0	1.803122	0.854974	0	0	0	0.442058	0	0	0	0	1.029427	0	0	0.326041	24.077004	203.653865	8.563066	282.609586	0	0	0	0
H2AC18_2	0.182935	6.074061	0.850625	0.523384	0.362452	77.76928	59.649323	5.553703	5.806661	0	26.384198	32.110161	11.622983	0	0	0	20.56171	18.111809	0	1.354921	0	0	0	0	0	0	0	0	0	0	0	0	86.925145	122.125742	104.980438	180.137173	0.025676	2.47306	0.025065	0.035652
H2AC12	0.021168	8.512732	2.097929	0.758242	0.395203	15.712458	4.206719	0	0	0.05013	0.312379	0	0.691928	0.271831	0	0	1.898889	6.934377	0	0.549988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031617	0	0
NovelGene1	0.093745	2.372599	2.202323	0.773267	1.146652	3.381048	2.840698	0	0	0	0.244151	0	0.459086	0.053137	0	0	2.169945	1.107304	0.017382	0	0.963514	0.987366	0.740747	0.953965	0.477835	1.007913	0.132345	0.557398	0.50342	0.846018	0.78034	0.108577	1.352382	2.160597	4.204539	3.191887	0	0	0	0
NovelGene2	0.256148	1.842534	1.199055	1.347292	1.431728	2.245532	0.994904	0.324476	2.970588	1.15493	0	0	0	0.410532	0.454075	0.50162	4.222744	2.51307	0.824765	1.108074	0	0	0	0	0	0	0	0	0	0	0	0	0.296701	1.35521	0.856655	2.238427	0	0	0	0
NovelGene3	0	2.727587	1.501308	1.022504	0.890309	1.029192	1.33577	0.878838	3.465955	0.117079	0	0	0.094299	0.061723	0.450146	0.350908	1.806729	0.646877	0.019704	0.029223	0	0	0	0	0	0	0	0	0	0	0	0	0.980781	1.481486	1.355374	2.089312	0	0	0	0
ZNF14	0	0	0	0	0	0	0.149513	0.282812	6.727737	0	0	0	0	0.149012	0	0	0.02388	0.326351	0.061832	0	0.046752	0.222826	0.18486	0.095953	0.041711	0	0	0.312095	0.109768	0.048188	0	0	0.081251	0.059901	0.069516	0.060549	0	0	0	0
NovelGene4	0.373984	5.37644	2.817852	8.278047	4.64414	0	0	0.275786	4.144222	0.315177	0	0	0.574338	0	0	0	3.835418	24.311482	0	0.031185	1.855619	1.42349	1.515243	2.072114	0.684031	2.066355	0.358236	1.888058	1.658813	1.663184	0.808347	0.306787	3.268196	7.294702	6.828029	8.472293	0	0	0	0
NovelGene5	0.438812	2.878606	2.019029	0.778401	1.574041	0.593198	1.032748	1.908653	6.827331	0	0	0	0	3.093196	0	0	5.656065	3.310135	1.206084	1.791778	0	0	0	0	0	0	0	0	0	0	0	0	0.346899	1.559685	0.593495	0.672003	0	0	0	0
NovelGene6	0.141381	7.367596	4.41692	3.427734	4.245169	0.279199	0.423699	0.16786	1.695273	0.129331	0	0	0	0.072426	0.312057	0.171259	0.595261	0.701449	0.653394	0.988645	0.521833	0.114852	0.198392	0.04124	0.107474	0.083928	0.029709	0.089469	0.094325	0	0.073125	0.061056	0.38004	0.09336	0.189623	0.141563	0	0	0	0
NovelGene7	0.488468	9.300583	2.861513	3.396196	3.422033	1.981749	1.266281	2.014464	4.256312	1.592842	0	0	1.590099	0.103756	1.061866	1.089537	4.224543	4.154777	0	1.298458	1.026605	0	0.352975	0	0	0	0	0	0	0.782107	0	0	1.188035	3.133495	3.048533	3.260756	0	0	0	0
